feature_id,threshold,start_date,end_date,duration,gap
r1wjpxg6j,0.1062,1986-08-26,1999-10-19,4803,203
r1wjpxg6j,0.1062,2000-05-10,2000-06-03,25,77
r1wjpxg6j,0.1062,2000-08-20,2002-04-26,615,452
r1wjpxg6j,0.1062,2003-07-23,2003-08-10,19,1122
r1wjpxg6j,0.1062,2006-09-06,2007-09-17,377,944
r1wjpxg6j,0.1062,2010-04-19,2013-02-21,1040,87
r1wjpxg6j,0.1062,2013-05-20,2013-10-03,137,217
r1wjpxg6j,0.1062,2014-05-09,2014-10-04,149,688
r1wjpxg6j,0.1062,2016-08-23,2021-01-27,1619,63
r1wjpxg6j,0.1062,2021-04-01,2021-11-22,236,96
r1wjpxg6j,0.1062,2022-02-27,2022-03-17,19,141
r1wjpxg6j,0.1062,2022-08-06,2023-12-23,505,0
r1wjqrqbm,0.05,,,0,45
r1wjqrqbm,0.05,1986-10-10,1990-12-13,1526,244
r1wjqrqbm,0.05,1991-08-15,1992-04-08,238,17
r1wjqrqbm,0.05,1992-04-26,1994-09-24,882,298
r1wjqrqbm,0.05,1995-07-20,1996-03-24,249,129
r1wjqrqbm,0.05,1996-08-01,1997-04-06,249,4993
r1wjqrqbm,0.05,2010-12-08,2013-02-09,795,569
r1wjqrqbm,0.05,2014-09-02,2014-09-24,23,707
r1wjqrqbm,0.05,2016-09-01,2017-01-27,149,93
r1wjqrqbm,0.05,2017-05-01,2017-06-08,39,1793
r1wjqrqbm,0.05,2022-05-07,2022-07-09,64,101
r1wjqrqbm,0.05,2022-10-19,2023-12-16,424,7
r1wjrs4ms,0.05,,,0,1421
r1wjrs4ms,0.05,1990-07-17,1990-07-25,9,786
r1wjrs4ms,0.05,1992-09-19,1992-10-25,37,291
r1wjrs4ms,0.05,1993-08-13,1993-10-27,76,630
r1wjrs4ms,0.05,1995-07-20,1995-08-14,26,4329
r1wjrs4ms,0.05,2007-06-22,2007-07-16,25,1282
r1wjrs4ms,0.05,2011-01-19,2011-02-14,27,1238
r1wjrs4ms,0.05,2014-07-07,2014-07-08,2,53
r1wjrs4ms,0.05,2014-08-31,2014-09-28,29,635
r1wjrs4ms,0.05,2016-06-25,2016-09-24,92,222
r1wjrs4ms,0.05,2017-05-05,2017-06-08,35,1793
r1wjrs4ms,0.05,2022-05-07,2022-07-10,65,531
r1wjrvqgz,0.5,1986-08-26,2023-12-23,13634,0
r1wjxdu30,0.5,1986-08-26,2023-12-23,13634,0
r1wm1z1wu,0.5,1986-08-26,2022-02-23,12966,245
r1wm1z1wu,0.5,2022-10-27,2024-02-02,464,0
