feature_id,threshold,start_date,end_date,duration,gap,area_days,max_water+wet,mean_water+wet,max_wet_area,mean_wet_area,cum_area_days
r1wjpxg6j,0.1062,1986-08-26,1999-10-19,4803,203,3883.2895,0.974,0.8085,612.463,508.4262,2441971.2435
r1wjpxg6j,0.1062,2000-05-10,2000-06-03,25,77,3.14,0.1458,0.1256,91.6872,78.9825,1974.5635
r1wjpxg6j,0.1062,2000-08-20,2002-04-26,615,452,405.5089,0.8988,0.6594,565.2189,414.6351,255000.5587
r1wjpxg6j,0.1062,2003-07-23,2003-08-10,19,1122,2.1997,0.1253,0.1158,78.7698,72.8019,1383.2366
r1wjpxg6j,0.1062,2006-09-06,2007-09-17,377,944,249.7545,0.8615,0.6625,541.7318,416.5937,157055.8158
r1wjpxg6j,0.1062,2010-04-19,2013-02-21,1040,87,699.5623,0.976,0.6727,613.7228,422.9936,439913.3922
r1wjpxg6j,0.1062,2013-05-20,2013-10-03,137,217,48.6543,0.4971,0.3551,312.6207,223.3272,30595.8321
r1wjpxg6j,0.1062,2014-05-09,2014-10-04,149,688,37.8387,0.3424,0.254,215.3429,159.6947,23794.507
r1wjpxg6j,0.1062,2016-08-23,2021-01-27,1619,63,1334.0535,0.9606,0.824,604.094,518.1639,838907.4003
r1wjpxg6j,0.1062,2021-04-01,2021-11-22,236,96,95.5405,0.6048,0.4048,380.2922,254.5754,60079.7908
r1wjpxg6j,0.1062,2022-02-27,2022-03-17,19,141,3.3445,0.2427,0.176,152.6208,110.6923,2103.1532
r1wjpxg6j,0.1062,2022-08-06,2023-12-23,505,0,448.9251,0.9718,0.889,611.1131,559.0147,282302.4343
r1wjqrqbm,0.05,,,0,45,0.0,,,,,0.0
r1wjqrqbm,0.05,1986-10-10,1990-12-13,1526,244,609.8417,0.9375,0.3996,1129.2347,481.3709,734571.9925
r1wjqrqbm,0.05,1991-08-15,1992-04-08,238,17,72.6243,0.5296,0.3051,637.8876,367.5548,87478.0389
r1wjqrqbm,0.05,1992-04-26,1994-09-24,882,298,356.2702,0.7849,0.4039,945.4518,486.5507,429137.7543
r1wjqrqbm,0.05,1995-07-20,1996-03-24,249,129,104.3951,0.658,0.4193,792.6143,505.0077,125746.9093
r1wjqrqbm,0.05,1996-08-01,1997-04-06,249,4993,79.5572,0.5301,0.3195,638.5173,384.855,95828.9033
r1wjqrqbm,0.05,2010-12-08,2013-02-09,795,569,240.2587,0.4508,0.3022,542.9826,364.0233,289398.5594
r1wjqrqbm,0.05,2014-09-02,2014-09-24,23,707,1.6834,0.0962,0.0732,115.8675,88.1601,2027.6813
r1wjqrqbm,0.05,2016-09-01,2017-01-27,149,93,12.0068,0.1319,0.0806,158.8647,97.0637,14462.489
r1wjqrqbm,0.05,2017-05-01,2017-06-08,39,1793,4.3395,0.1726,0.1113,207.9411,134.0274,5227.067
r1wjqrqbm,0.05,2022-05-07,2022-07-09,64,101,9.5621,0.249,0.1494,299.8944,179.9659,11517.8179
r1wjqrqbm,0.05,2022-10-19,2023-12-16,424,7,167.9465,0.8083,0.3961,973.6085,477.1143,202296.4713
r1wjrs4ms,0.05,,,0,1421,0.0,,,,,0.0
r1wjrs4ms,0.05,1990-07-17,1990-07-25,9,786,0.4794,0.0562,0.0533,12.1551,11.5248,103.7234
r1wjrs4ms,0.05,1992-09-19,1992-10-25,37,291,2.7027,0.0965,0.073,20.8887,15.8044,584.7644
r1wjrs4ms,0.05,1993-08-13,1993-10-27,76,630,4.7454,0.0749,0.0624,16.2068,13.5096,1026.7279
r1wjrs4ms,0.05,1995-07-20,1995-08-14,26,4329,2.8617,0.1715,0.1101,37.0955,23.8137,619.1567
r1wjrs4ms,0.05,2007-06-22,2007-07-16,25,1282,3.3116,0.2166,0.1325,46.869,28.6603,716.5086
r1wjrs4ms,0.05,2011-01-19,2011-02-14,27,1238,1.4343,0.0562,0.0531,12.1551,11.4933,310.3201
r1wjrs4ms,0.05,2014-07-07,2014-07-08,2,53,0.1012,0.0512,0.0506,11.0746,10.948,21.896
r1wjrs4ms,0.05,2014-08-31,2014-09-28,29,635,2.5591,0.1257,0.0882,27.1914,19.0928,553.6924
r1wjrs4ms,0.05,2016-06-25,2016-09-24,92,222,6.3709,0.0889,0.0692,19.2364,14.9827,1378.4061
r1wjrs4ms,0.05,2017-05-05,2017-06-08,35,1793,3.9085,0.1727,0.1117,37.3643,24.1611,845.637
r1wjrs4ms,0.05,2022-05-07,2022-07-10,65,531,10.0244,0.2576,0.1542,55.7333,33.3674,2168.8814
r1wjrvqgz,0.5,1986-08-26,2023-12-23,13634,0,12818.0222,0.9839,0.9402,230.6979,220.4438,3005530.1487
r1wjxdu30,0.5,1986-08-26,2023-12-23,13634,0,13318.2223,0.9931,0.9768,976.6073,960.5782,13096523.2271
r1wm1z1wu,0.5,1986-08-26,2022-02-23,12966,245,12228.5365,0.9807,0.9431,229.1223,220.3343,2856854.4123
r1wm1z1wu,0.5,2022-10-27,2024-02-02,464,0,404.625,0.9888,0.872,231.0121,203.7269,94529.278
