feature_id,date,water_median,wet_median,pv_median,npv_median,bs_median,count
r1wjpxg6j,1986-08-01,0.6778,0.0485,0.0666,0.1805,0.0246,6
r1wjpxg6j,1986-09-01,0.683,0.0494,0.0658,0.1757,0.0241,30
r1wjpxg6j,1986-10-01,0.692,0.051,0.0643,0.1675,0.0232,31
r1wjpxg6j,1986-11-01,0.701,0.0526,0.0629,0.1594,0.0222,30
r1wjpxg6j,1986-12-01,0.71,0.0542,0.0614,0.1512,0.0213,31
r1wjpxg6j,1987-01-01,0.7191,0.0559,0.0599,0.143,0.0203,31
r1wjpxg6j,1987-02-01,0.7278,0.0574,0.0585,0.1351,0.0194,28
r1wjpxg6j,1987-03-01,0.7365,0.0589,0.0571,0.1272,0.0185,31
r1wjpxg6j,1987-04-01,0.7454,0.0605,0.0557,0.1191,0.0176,30
r1wjpxg6j,1987-05-01,0.7544,0.0621,0.0543,0.1109,0.0166,31
r1wjpxg6j,1987-06-01,0.7634,0.0637,0.0528,0.1028,0.0157,30
r1wjpxg6j,1987-07-01,0.7679,0.0667,0.0512,0.0981,0.015,31
r1wjpxg6j,1987-08-01,0.747,0.0793,0.0488,0.108,0.0154,31
r1wjpxg6j,1987-09-01,0.726,0.0916,0.0463,0.1186,0.0158,30
r1wjpxg6j,1987-10-01,0.7131,0.0788,0.0405,0.1463,0.0192,31
r1wjpxg6j,1987-11-01,0.7078,0.0585,0.0341,0.1895,0.0251,30
r1wjpxg6j,1987-12-01,0.4399,0.136,0.0342,0.3039,0.0346,31
r1wjpxg6j,1988-01-01,0.2342,0.1198,0.05,0.4982,0.0859,31
r1wjpxg6j,1988-02-01,0.2785,0.1142,0.0592,0.4593,0.0801,29
r1wjpxg6j,1988-03-01,0.3796,0.1005,0.0662,0.3816,0.0649,31
r1wjpxg6j,1988-04-01,0.4824,0.0866,0.0734,0.3025,0.0495,30
r1wjpxg6j,1988-05-01,0.5852,0.0728,0.0806,0.2235,0.0341,31
r1wjpxg6j,1988-06-01,0.682,0.0579,0.0879,0.1502,0.0195,30
r1wjpxg6j,1988-07-01,0.7301,0.0359,0.0933,0.1294,0.0119,31
r1wjpxg6j,1988-08-01,0.7523,0.0158,0.0784,0.1346,0.0127,31
r1wjpxg6j,1988-09-01,0.8543,0.0077,0.0507,0.0687,0.017,30
r1wjpxg6j,1988-10-01,0.8987,0.0057,0.0329,0.0484,0.0132,31
r1wjpxg6j,1988-11-01,0.9431,0.0037,0.015,0.0281,0.0094,30
r1wjpxg6j,1988-12-01,0.9526,0.0077,0.0056,0.0192,0.0147,31
r1wjpxg6j,1989-01-01,0.9556,0.0061,0.009,0.0185,0.01,31
r1wjpxg6j,1989-02-01,0.9465,0.0068,0.011,0.0235,0.0117,28
r1wjpxg6j,1989-03-01,0.9388,0.0076,0.0136,0.0274,0.0118,31
r1wjpxg6j,1989-04-01,0.9407,0.0098,0.0171,0.023,0.0088,30
r1wjpxg6j,1989-05-01,0.946,0.013,0.0208,0.0146,0.0051,31
r1wjpxg6j,1989-06-01,0.9492,0.0159,0.0216,0.0098,0.003,30
r1wjpxg6j,1989-07-01,0.9358,0.0337,0.0184,0.0099,0.0014,31
r1wjpxg6j,1989-08-01,0.9489,0.0213,0.0179,0.0098,0.0017,31
r1wjpxg6j,1989-09-01,0.9562,0.0113,0.0176,0.01,0.004,30
r1wjpxg6j,1989-10-01,0.9491,0.0135,0.0155,0.0172,0.0042,31
r1wjpxg6j,1989-11-01,0.9378,0.0104,0.0135,0.0301,0.0077,30
r1wjpxg6j,1989-12-01,0.9267,0.0084,0.0123,0.0417,0.0104,31
r1wjpxg6j,1990-01-01,0.916,0.009,0.0134,0.0501,0.0109,31
r1wjpxg6j,1990-02-01,0.9058,0.0096,0.0145,0.058,0.0113,28
r1wjpxg6j,1990-03-01,0.8956,0.0102,0.0156,0.066,0.0117,31
r1wjpxg6j,1990-04-01,0.896,0.0101,0.0165,0.0692,0.008,30
r1wjpxg6j,1990-05-01,0.8976,0.0147,0.0222,0.0577,0.0063,31
r1wjpxg6j,1990-06-01,0.9027,0.0167,0.0262,0.0483,0.0053,30
r1wjpxg6j,1990-07-01,0.9124,0.0159,0.0285,0.0361,0.006,31
r1wjpxg6j,1990-08-01,0.9066,0.0146,0.0315,0.0404,0.0061,31
r1wjpxg6j,1990-09-01,0.8976,0.0134,0.0304,0.0509,0.0077,30
r1wjpxg6j,1990-10-01,0.8958,0.0133,0.024,0.0566,0.0093,31
r1wjpxg6j,1990-11-01,0.8734,0.0092,0.0203,0.0783,0.0169,30
r1wjpxg6j,1990-12-01,0.8512,0.0077,0.0189,0.1009,0.0197,31
r1wjpxg6j,1991-01-01,0.8794,0.0047,0.0205,0.0688,0.0256,31
r1wjpxg6j,1991-02-01,0.8829,0.0058,0.0211,0.0613,0.0276,28
r1wjpxg6j,1991-03-01,0.8811,0.0079,0.0213,0.0638,0.0246,31
r1wjpxg6j,1991-04-01,0.8677,0.0218,0.0229,0.0668,0.0196,30
r1wjpxg6j,1991-05-01,0.9006,0.0149,0.0233,0.049,0.013,31
