feature_id,year,date,count,water_max,wet_max,bs_max,pv_max,npv_max,npv+pv+wet_max,pv+wet_max,water+wet_max,water_min,wet_min,bs_min,pv_min,npv_min,npv+pv+wet_min,pv+wet_min,water+wet_min,water_mean,wet_mean,bs_mean,pv_mean,npv_mean,npv+pv+wet_mean,pv+wet_mean,water+wet_mean,water_median,wet_median,bs_median,pv_median,npv_median,npv+pv+wet_median,pv+wet_median,water+wet_median
r1wjpxg6j,1986,1986-01-01,128,0.7144,0.055,0.0247,0.0667,0.1811,0.2962,0.1157,0.7694,0.677,0.0484,0.0208,0.0607,0.1472,0.2629,0.1151,0.7254,0.6957,0.0517,0.0228,0.0637,0.1642,0.2796,0.1154,0.7474,0.6957,0.0517,0.0228,0.0637,0.1642,0.2796,0.1154,0.7474
r1wjpxg6j,1987,1987-01-01,365,0.7712,0.3932,0.0566,0.0607,0.3965,0.6755,0.4338,0.8363,0.2873,0.0416,0.0149,0.028,0.0957,0.2123,0.0729,0.5025,0.7043,0.0814,0.0199,0.0494,0.1429,0.2737,0.1309,0.7857,0.7335,0.0636,0.0178,0.052,0.1234,0.2468,0.1164,0.8034
r1wjpxg6j,1988,1988-01-01,366,0.9715,0.126,0.0932,0.0962,0.5267,0.7058,0.1791,0.974,0.1908,0.0024,0.007,0.0036,0.0151,0.0212,0.0061,0.3168,0.6523,0.0518,0.0339,0.0574,0.2008,0.31,0.1092,0.7041,0.7084,0.0463,0.018,0.0623,0.1399,0.2743,0.138,0.7547
r1wjpxg6j,1989,1989-01-01,365,0.9606,0.0409,0.0147,0.0225,0.0458,0.0691,0.0591,0.9702,0.9215,0.0052,0.0012,0.0074,0.0089,0.032,0.0148,0.9301,0.9444,0.0131,0.0067,0.0157,0.0196,0.0485,0.0289,0.9575,0.945,0.0111,0.0064,0.0162,0.0183,0.0482,0.0278,0.9597
r1wjpxg6j,1990,1990-01-01,365,0.9212,0.0173,0.0239,0.0336,0.1054,0.1301,0.0473,0.9307,0.8448,0.0057,0.0044,0.0128,0.0336,0.0675,0.0215,0.8511,0.8957,0.012,0.01,0.0219,0.0595,0.0934,0.0339,0.9077,0.8991,0.0109,0.0091,0.0211,0.0562,0.0928,0.0321,0.9129
r1wjpxg6j,1991,1991-01-01,365,0.9034,0.0386,0.0286,0.0356,0.1104,0.1359,0.0638,0.9236,0.8368,0.0042,0.0064,0.0178,0.0348,0.0853,0.0237,0.8439,0.8792,0.0135,0.0183,0.0264,0.0614,0.1013,0.0399,0.8927,0.8818,0.0138,0.0198,0.0242,0.0605,0.0931,0.04,0.8906
r1wjpxg6j,1992,1992-01-01,366,0.8365,0.292,0.2894,0.0902,0.2649,0.6471,0.3822,0.864,0.0586,0.0072,0.0103,0.0184,0.0804,0.1361,0.0255,0.3506,0.6899,0.066,0.06,0.0433,0.1387,0.248,0.1093,0.7559,0.7948,0.0349,0.0235,0.0428,0.1288,0.187,0.0815,0.8187
r1wjpxg6j,1993,1993-01-01,365,0.8685,0.0235,0.0393,0.0434,0.1165,0.1509,0.0549,0.8785,0.8168,0.0057,0.0129,0.0202,0.0783,0.1131,0.0278,0.8253,0.8365,0.0127,0.0237,0.0308,0.0947,0.1383,0.0436,0.8492,0.836,0.0123,0.0236,0.0298,0.0951,0.138,0.0452,0.8484
r1wjpxg6j,1994,1994-01-01,365,0.8179,0.0186,0.0572,0.0311,0.2446,0.2791,0.0497,0.8326,0.6631,0.0054,0.0167,0.0178,0.1176,0.1454,0.024,0.6761,0.7891,0.0112,0.0323,0.0236,0.1419,0.1767,0.0348,0.8003,0.7963,0.011,0.0326,0.0221,0.1344,0.1684,0.0337,0.8061
r1wjpxg6j,1995,1995-01-01,365,0.9144,0.0487,0.077,0.0706,0.3785,0.4302,0.1152,0.9203,0.4897,0.0059,0.0128,0.0158,0.0334,0.0691,0.0231,0.522,0.7187,0.0234,0.0334,0.0377,0.1849,0.246,0.0611,0.7421,0.6984,0.028,0.0224,0.0344,0.1719,0.2793,0.0583,0.7373
r1wjpxg6j,1996,1996-01-01,366,0.9034,0.0464,0.0268,0.0318,0.0937,0.1324,0.0631,0.9139,0.8505,0.0063,0.016,0.0153,0.0507,0.0792,0.0253,0.8593,0.8755,0.0177,0.0193,0.0222,0.064,0.104,0.0399,0.8932,0.8743,0.0158,0.0183,0.0214,0.0614,0.1055,0.0377,0.8969
r1wjpxg6j,1997,1997-01-01,365,0.8751,0.1106,0.068,0.0372,0.1717,0.3072,0.1355,0.8981,0.6236,0.0051,0.0097,0.0163,0.0608,0.107,0.0279,0.7341,0.8396,0.0274,0.0197,0.0253,0.0867,0.1394,0.0527,0.867,0.8547,0.0183,0.0182,0.0235,0.08,0.1274,0.0491,0.8779
r1wjpxg6j,1998,1998-01-01,365,0.8631,0.0793,0.0377,0.0386,0.1739,0.202,0.0988,0.8975,0.7578,0.0029,0.0112,0.0156,0.0615,0.1103,0.0205,0.7608,0.8377,0.0175,0.0211,0.0285,0.0938,0.1398,0.046,0.8551,0.8479,0.0127,0.0209,0.0295,0.0889,0.1353,0.0421,0.8648
